asset_y,asset_x,correlation,cointegration_pvalue,cointegration_passed,half_life,liquidity_passed,avg_dollar_volume_y,avg_dollar_volume_x,rank
MSFT,ACN,0.7451412372336054,2.7399612685240964e-05,True,10.949234952736324,True,7224555998.995634,549494340.7096994,1
MA,TXN,0.6418704200725864,0.001162667077693883,True,13.164468120104477,True,1298659209.0679219,708068752.7182839,2
MA,HON,0.6924054139866841,0.0012226501132982417,True,13.417511344321124,True,1298659209.0679219,526532685.0520099,3
T,PEP,0.5735070222970073,0.0022033568274497806,True,18.74432308758406,True,843280406.1481187,641168185.1318055,4
AAPL,UNP,0.5217808796726998,0.002578667049017598,True,15.967086265180487,True,13281834962.810133,573014220.4967712,5
AAPL,TMO,0.5692275648022672,0.002697401040844088,True,13.901715555617645,True,13281834962.810133,727948022.0791422,6
JNJ,IBM,0.5745641144370073,0.0029845567722985656,True,19.255997458679474,True,1036351554.7934912,564265425.8834554,7
T,MCD,0.49582982136802933,0.0032688220098723536,True,21.232727959313586,True,843280406.1481187,632081566.7395226,8
JNJ,PM,0.5473265760589928,0.003663111625953599,True,15.117995501589,True,1036351554.7934912,361830872.26273376,9
CMCSA,MDT,0.5671497831135939,0.003725155727601984,True,15.776758221480833,True,806456692.341197,500677881.0823824,10
HD,ORCL,0.544226518056986,0.0045590906808235495,True,21.063498733261028,True,1083452073.8464413,706382379.4858845,11
MA,HD,0.5883989758887652,0.0045702912128602795,True,15.691591751931531,True,1298659209.0679219,1083452073.8464413,12
T,ABBV,0.43904318440009177,0.004776944535805439,True,22.048426185890047,True,843280406.1481187,710735454.2892092,13
T,MRK,0.4401403747857392,0.004881266910329532,True,23.459396689663844,True,843280406.1481187,782116078.4830135,14
BA,CMCSA,0.4694377767751459,0.0050572679364463274,True,29.184503554205104,True,3085440621.081182,806456692.341197,15
TXN,HON,0.5846577850894604,0.005340055567562828,True,17.144018410870554,True,708068752.7182839,526532685.0520099,16
HD,ACN,0.6835299797920517,0.005793212450554449,True,16.178599345731214,True,1083452073.8464413,549494340.7096994,17
T,CVX,0.49286216263275173,0.006476332423403056,True,22.900793174633225,True,843280406.1481187,1050148667.3343707,18
GOOGL,BAC,0.5050456883768139,0.006832214492677841,True,21.949279706596613,True,3501646552.7820225,1585771336.4254172,19
T,UNP,0.4731468843504505,0.006866683642997475,True,21.255353942756177,True,843280406.1481187,573014220.4967712,20
BRK-B,PM,0.6434860882616297,0.00699544109217323,True,20.175235057783695,True,1283833932.984233,361830872.26273376,21
T,HD,0.46299185463877285,0.007057303269768257,True,20.745505895741783,True,843280406.1481187,1083452073.8464413,22
MSFT,BAC,0.5016333347144997,0.0072669246274528945,True,26.6595331681856,True,7224555998.995634,1585771336.4254172,23
